回数,賞,ID,song_by,歌詞
3,新人奨励賞,43658,川は流れる_by_仲宗根美樹,病葉(わくらば)を きょうも浮かべて 街(まち)の谷 川は流れる ささやかな 望み破れて 哀(かな)しみに 染まる瞳(ひとみ)に たそがれの 水のまぶしさ 思い出の 橋のたもとに 錆(さび)ついた 夢のかずかず ある人は 心つめたく ある人は 好きで別れて 吹き抜ける 風に泣いてる ともしびも 薄い谷間を 一筋に 川は流れる 人の世の 塵(ちり)にまみれて なお生きる 水をみつめて 嘆くまい あすは明るく
3,新人奨励賞,No ID!,団地のお嬢さん_by_山中みゆき,Not Found...
3,新人奨励賞,No ID!,白い花のブルース_by_平野こうじ,想いをこめて 白い花投げれば落ちよ あの胸に落ちたら可愛い ブローチになってもおくれ 白い花面影ばかり 目に浮かぶあなたは今じゃ 遠い人この花風に 流される悲しい恋の なごり花想い出の花 白い花一輪空に 投げ上げるたそがれどきの 丘の上わかれた人の 恋しさよ
3,新人奨励賞,13871,湖愁_by_松島アキラ,悲しい恋の なきがらは そっと流そう 泣かないで かわいあの娘よ さようなら たそがれ迫る 湖の 水に浮かべる 木の葉舟 ひとり旅の 淋しさは 知っていたのさ 始めから はぐれ小鳩か 白樺の 梢に一羽 ほろほろと 泣いて涙で 誰を呼ぶ 夕星ひとつ またひとつ ぬれた瞳を しのばせる 想い出すまい 嘆くまい 東京は遠い あの峰を 越えてはるかな 空のはて
3,新人奨励賞,No ID!,むすめ三度笠_by_蔵野たつ美,Not Found...
3,新人奨励賞,59390,さいはての唄_by_柳うた子,逢わぬ先から お別れが 待っていました 北の町 行かなきゃならない アリューシャン 行かせたくない 人なのに どうせ私は にしん場の 街の夜風に 咲いた花 こんどあなたの かえるまで 咲いているやら いないやら 灯り凍てつく ノサップの 海を北へと いそぐ船 男なりゃこそ 唇に 含む笑顔も 辛かろう 雪に埋もれた ハボマイにゃ 死んだ親御の 墓もある 飲ませてやりたや 好きな酒 あなた代りに 注がせてね あなた代りに 注がせてね
4,大賞,13079,いつでも夢を_by_橋幸夫＆吉永小百合,星よりひそかに 雨よりやさしく あの娘はいつも歌ってる 声がきこえる 淋しい胸に 涙に濡れたこの胸に 言っているいる お持ちなさいな いつでも夢を いつでも夢を 星よりひそかに 雨よりやさしく あの娘はいつも歌ってる 歩いて歩いて 悲しい夜更けも あの娘の声は流れくる すすり泣いてる この顔上げて きいてる歌の懐しさ 言っているいる お持ちなさいな いつでも夢を いつでも夢を 歩いて歩いて 悲しい夜更けも あの娘の声は流れくる 言っているいる お持ちなさいな いつでも夢を いつでも夢を はかない涙を うれしい涙に あの娘はかえる 歌声で
4,歌唱賞,67115,星屑の町_by_三橋美智也,両手を回して 帰ろ 揺れながら 涙の中を たったひとりで やさしかった 夢にはぐれず 瞼(まぶた)を閉じて 帰ろ まだ遠い 赤いともしび 指笛吹いて 帰ろ 揺れながら 星屑(ほしくず)わけて 町を離れて 忘れない 花のかずかず 瞼を閉じて 帰ろ 思い出の 道をひとすじ 両手を回して 帰ろ 揺れながら 涙の中を たったひとりで
4,童謡賞,5948,ちいさい秋みつけた_by_童謡・唱歌,だれかさんが だれかさんが だれかさんが みつけた ちいさい あき ちいさい あき ちいさい あき みつけた めかくしおにさん ての なるほうへ すました おみみに かすかに しみた よんでる くちぶえ もずの こえ ちいさい あき ちいさい あき ちいさい あき みつけた だれかさんが だれかさんが だれかさんが みつけた ちいさい あき ちいさい あき ちいさい あき みつけた おへやは きたむき くもりの ガラス うつろな めのいろ とかした ミルク わずかな すきから あきの かぜ ちいさい あき ちいさい あき ちいさい あき みつけた だれかさんが だれかさんが だれかさんが みつけた ちいさい あき ちいさい あき ちいさい あき みつけた むかしの むかしの かざみの とりの ぼやけた とさかに はぜのは ひとつ はぜのは あかくて いりひいろ ちいさい あき ちいさい あき ちいさい あき みつけた
4,新人賞,43605,なみだ船_by_北島三郎,涙の終りの ひと滴(しずく) ゴムのかっぱに しみとおる どうせおいらは ヤン衆かもめ 泣くな怨むな 北海の 海に芽をふく 恋の花 クルクル 帆綱(ほづな)を 巻きあげて 暁(あけ)の千島を 忍び立ち あてにゃすまいぞ ヤン衆かもめ 舵であやつる 舟のよに 女心は ままならぬ 惚れたら遠慮は できまいが いやというなら ぜひもない 夢をみるなよ ヤン衆かもめ にしん枕に 北海の 月に哀しや 泪船
4,新人賞,43661,下町の太陽_by_倍賞千恵子,下町の空に かがやく太陽は よろこびと 悲しみ写す ガラス窓 心のいたむ その朝は 足音しみる 橋の上 あゝ太陽に 呼びかける 下町の恋を 育てた太陽は 縁日に 二人で分けた 丸いあめ 口さえ聞けず 別れては 祭りの午後の なつかしく あゝ太陽に 涙ぐむ 下町の屋根を 温(ぬく)める太陽は 貧しくも 笑顔を消さぬ 母の顔 悩みを夢を うちあけて 路地にも幸の くるように あゝ太陽と 今日もまた
5,大賞,187651,こんにちは赤ちゃん_by_梓みちよ,こんにちは赤ちゃん あなたの笑顔 こんにちは赤ちゃんあなたの泣き声 その小さな手 つぶらな瞳 はじめまして わたしがママよ こんにちは赤ちゃん あなたの生命(いのち) こんにちは赤ちゃんあなたの未来に この幸福(しあわせ)が パパの希望(のぞみ)よ はじめまして わたしがママよ ふたりだけの愛のしるし すこやかに美しく 育てといのる こんにちは赤ちゃんお願いがあるの こんにちは赤ちゃん ときどきはパパと ホラ ふたりだけの 静かな夜を つくってほしいの おやすみなさい おねがい赤ちゃん おやすみ赤ちゃん わたしがママよ
5,歌唱賞,244063,赤ちゃんは王様だ_by_フランク永井,赤ちゃんは 王様だ 裸の 王様だ 笑ったら 王様だ 泣いていたって 王様だ やってこい 飛んでこい こうのとりと いっしょに やってこい 飛んでこい おもちゃと いっしょに 赤ちゃんは 王様だ 裸の 王様だ みんなの 王様だ 赤ちゃんは 王様だ 裸の 王様だ 声だしたら 王様だ だまっていたって 王様だ やってこい 飛んでこい こうのとりと いっしょに やってこい 飛んでこい 名前と いっしょに 赤ちゃんは 王様だ 裸の 王様だ みんなの 王様だ 赤ちゃんは 王様だ 裸の 王様だ 目をさましたら 王様だ ねむっていたって 王様だ やってこい 飛んでこい こうのとりと いっしょに やってこい 飛んでこい ママと いっしょに 赤ちゃんは 王様だ 裸の 王様だ みんなの 王様だ
5,童謡賞,8569,おもちゃのチャチャチャ_by_真理ヨシコ,おもちゃの チャチャチャ おもちゃの チャチャチャ チャチャチャ おもちゃのチャチャチャ そらに きらきら おほしさま みんな すやすや ねむるころ おもちゃは はこを とびだして おどる おもちゃの チャチャチャ おもちゃの チャチャチャ おもちゃの チャチャチャ チャチャチャ おもちゃのチャチャチャ なまりのへいたい とてちてた らっぱ ならして こんばんは フランスにんぎょう すてきでしょ はなのドレスで チャチャチャ おもちゃの チャチャチャ おもちゃの チャチャチャ チャチャチャ おもちゃのチャチャチャ とんぼ みたいな ヘリコプター ぐんと はやいな ジェットきは サイレン なれば はっしゃです うちゅう ロケット チャチャチャ おもちゃの チャチャチャ おもちゃの チャチャチャ チャチャチャ おもちゃのチャチャチャ きょうは おもちゃの おまつりだ みんな たのしく うたいましょ ブタは ブースカ こねこはニャー あまちゃのみのみ チャチャチャ おもちゃの チャチャチャ おもちゃの チャチャチャ チャチャチャ おもちゃのチャチャチャ そらに さよなら おほしさま まどに おひさま こんにちは おもちゃは かえる おもちゃばこ そして ねむるよ チャチャチャ おもちゃの チャチャチャ おもちゃの チャチャチャ チャチャチャ おもちゃのチャチャチャ おもちゃの チャチャチャ おもちゃの チャチャチャ チャチャチャ おもちゃのチャチャチャ
5,新人賞,43573,学園広場_by_舟木一夫,空にむかって あげた手に 若さがいっぱい とんでいた 学園広場で 肩くみあって 友と うたった 若い歌 涙ながした 友もある 愉快にさわいだ 時もある 学園広場に 咲いてる花の ひとつ ひとつが 想いでさ ぼくが卒業 してからも 忘れはしないよ いつまでも 学園広場は 青春広場 夢と 希望が ある広場
5,新人賞,13873,高校三年生_by_舟木一夫,赤い夕陽が 校舎をそめて ニレの木蔭に 弾む声 ああ 高校三年生 ぼくら 離れ離れに なろうとも クラス仲間は いつまでも 泣いた日もある 怨んだことも 思い出すだろ なつかしく ああ 高校三年生 ぼくら フォークダンスの 手をとれば 甘く匂うよ 黒髪が 残り少ない 日数を胸に 夢がはばたく 遠い空 ああ 高校三年生 ぼくら 道はそれぞれ 別れても 越えて歌おう この歌を
5,新人賞,42640,島のブルース_by_三沢あけみ・和田弘とマヒナスターズ,奄美なちかしや 蘇鉄(ソテツ)のかげで 泣けばゆれます サネン花ョ ながい黒髪 島むすめ島むすめョ 愛人(カナ)はいまごろ 起きてか寝てか 淋しがらせる 浜千鳥ョ 南風(ハエ)のふく夜は ねむられぬねむられぬョ 夏のおどりは 七日と七夜 みんな知り候(ショ)る 月の夜ョ 名瀬の港の 船がでる船がでるョ 着せてみせたい 大島つむぎ わすれられない あのひとにョ なさけひとすじ 島むすめ島むすめョ
5,新人賞,No ID!,私も流れの渡り鳥_by_三沢あけみ,赤く咲いても淋しやこころ熱い吐息のやるせなさ星が流れる島空夜空ながれながれて何処へゆくああ私も流れの渡り鳥みんな夢よと口には言えどなんでこのまま忘らりょかあなた一人に身も世も捨てて今じゃ悲しい片羽鳥ああ旅路を流れの渡り鳥あれは千鳥かいとしゅてならぬ誰を慕うてちよちよと泣きなお泣きな涙に濡れてつばさ重たくならぬほどああ私も流れの渡り鳥
6,大賞,13082,愛と死をみつめて_by_青山和子,まこ… 甘えてばかりで ごめんネ みこは… とっても倖わせなの はかない いのちと しった日に 意地悪いって 泣いたとき 涙をふいて くれた…まこ まこ… わがまゝいって ごめんネ みこは… ほんとにうれしかったの たとえその瞳は 見えずとも ふたりでゆめみた 信濃路を せおって歩くと いった…まこ まこ… げんきになれずに ごめんネ みこは… もっと 生きたかったの たとえこの身は 召されても 二人の愛は 永遠に咲く みこのいのちを いきて…まこ
6,歌唱賞,4726,夜明けのうた_by_岸洋子,夜明けのうたよ 私の心の 昨日の悲しみ 流しておくれ 夜明けのうたよ 私の心に 若い力を 満たしておくれ 夜明けのうたよ 私の心の あふれる想いを わかっておくれ 夜明けのうたよ 私の心に 大きな望みを だかせておくれ 夜明けのうたよ 私の心の 小さな幸福 守っておくれ 夜明けのうたよ 私の心に 想い出させる ふるさとの空
6,童謡賞,No ID!,ワンツースリーゴー_by_音羽ゆりかご会,自動車いっぱい 人いっぱい ほらほら ご注意 横断歩道 右見てワン 左をツー もいちど右見てスリー 仲よくゴー ワン ツー スリー ゴー ワンツースリーゴー  いそいじゃいけない あぶないよ ほらほら横丁も 大きな道も 右見てワン 左をツー もいちど右見てスリー 仲よくゴー ワン ツー スリー ゴー ワンツースリーゴー  交通信号 守りましょう ほらほらそろって 横断歩道 右見てワン 左をツー もいちど右見てスリー 仲よくゴー ワン ツー スリー ゴー ワンツースリーゴー
6,新人賞,42733,君だけを_by_西郷輝彦,いつでも いつでも 君だけを 夢に見ている ぼくなんだ 星の光を うつしてる 黒い瞳に 出合うたび 胸がふるえる ぼくなんだ いつでも いつでも 君だけが 待っていそうな 街の角 そんな気持に させるのは 君の素敵な 黒い髪 雨に濡れてた 長い髪 いつでも いつでも 君だけと 歩きたいのさ 夜の道 ふたつ並んだ あの星も いつも仲良く ひかってる 君と僕との そのように
6,新人賞,41829,十七才のこの胸に_by_西郷輝彦,風に吹かれた 花びらを うかべて波は 遠ざかる ひとりぼっちの 湖は 口笛さえも 切れ切れに 山むらさきに 夜がくる 空をまっかに そめながら どこ行く夕日 ひとり旅 そっとよぼうか 思い出を 十七才の この胸に しまっておいた 思い出を 夜がしずかに 訪れりゃ 湖さみし 風さみし ひとりぼっちの ぼくだから あてなくたどる 落葉松(からまつ)の 林の道を ただひとり
6,新人賞,13875,アンコ椿は恋の花_by_都はるみ,三日おくれの 便りをのせて 船が行く行く 波浮港 いくら好きでも あなたは遠い 波の彼方へ 去ったきり あんこ便りは あんこ便りは あゝ 片便り 三原山から 吹き出す煙 北へなびけば 思い出す 惚れちゃならない 都の人に よせる思いが 灯ともえて あんこ椿は あんこ椿は あゝ すゝりなき 風にひらひら かすりの裾が 舞えばはずかし 十六の 長い黒髪 プッツリ切って かえるカモメに たくしたや あんこつぼみは あんこつぼみは あゝ 恋の花
7,大賞,13083,柔_by_美空ひばり,勝つと思うな 思えば負けよ 負けてもともと この胸の 奥に生きてる 柔の夢が 一生一度を 一生一度を 待っている 人は人なり のぞみもあるが 捨てゝ立つ瀬を 越えもする せめて今宵は 人間らしく 恋の涙を 恋の涙を 噛みしめる 口で言うより 手の方が早い 馬鹿を相手の 時じゃない 行くも住(とま)るも 坐(すわ)るも臥(ふ)すも 柔一すじ 柔一すじ 夜が明ける
7,歌唱賞,21643,ワン・レイニー・ナイト・イン・トーキョー_by_越路吹雪,小雨降る夜は なぜか淋しくて しんみりあなたと お話したいの なんにも云わずに 別れたあの夜 つれない方と うらんでますのよ ワン・レイニー・ナイト・イン・トーキョー やるせない雨よ 小窓うつ音は 雨のささやきか しみじみあなたを 想い出してるの あなたがいるなら なんにもいらない せめてもう一度 云わせてアイ・ラブ・ユー ワン・レイニー・ナイト・イン・トーキョー やるせない雨よ
7,童謡賞,13922,マーチングマーチ_by_童謡・唱歌,マーチったら チッタカタア こうしんだ マーチったら チッタカタア こうしんだ みぎあしくん ひだりあしくん かわり ばんこ かわり ばんこ ぼくを はこんで チッタカ タッタッタア のっぱらへ つれていけ チッタカ タッタッタア マーチったら チッタカタア こうしんだ マーチったら チッタカタア こうしんだ バスみちくん どろみちくん ざっくざっく ぼっこぼっこ ざっくざっく ぼっこぼっこ いいおと ならして チッタカ タッタッタア のっぱらへ つれていけ チッタカ タッタッタア かか かえるの おへそ みみ みみずの めだま あるのか ないのか ないのか あるのか みにゆこう マーチったら チッタカタア こうしんだ マーチったら チッタカタア こうしんだ ふるぐつくん ぼろぐつくん ひだりみぎ ひだりみぎ 12 34 ぼくを はこんで チッタカ タッタッタア のっぱらへ つれていけ チッタカ タッタッタア
7,新人賞,13877,女心の唄_by_バーブ佐竹,あなただけはと 信じつつ 恋におぼれて しまったの 心変わりが せつなくて つのる思いの しのび泣き どうせ私を だますなら だまし続けて ほしかった 酔っている夜は 痛まぬが さめてなおます 胸の傷 うわべばかりと つい知らず ほれてすがった 薄情け 酒がいわせた ことばだと なんでいまさら 逃げるのよ 女ですもの 人並みに 夢を見たのが なぜ悪い 今夜しみじみ 知らされた 男心の うらおもて 逃げた人なぞ 追うものか 追えばなおさら つらくなる 遠いあの夜の 思い出を そっと抱くたび ついほろり 散って砕けた 夢の数 つなぎあわせて 生きてゆく いつか来る春 幸福(しあわせ)を のぞみすてずに ひとり待つ
7,新人賞,36,愛して愛して愛しちゃったのよ_by_和田弘とマヒナスターズ＆田代美代子,愛しちゃったのよ 愛しちゃったのよ あなただけを 死ぬ程に 愛しちゃったのよ 愛しちゃったのよ ねてもさめても たゞあなただけ 生きているのが つらくなるような長い夜 こんな気持ちは 誰もわかっちゃくれない 愛しちゃったのよ 愛しちゃったのよ あなただけを 生命をかけて いつからこんなに いつからこんなに あなたを好きに なったのか どうしてこんなに どうしてこんなに あなたの為に 苦しいのかしら もしもあなたが 居なくなったらどうしよう 私一人じゃ とても生きちゃいけない 愛しちゃったのよ 愛しちゃったのよ あなただけを 生命をかけて 生命をかけて 生命をかけて
8,大賞,13084,霧氷_by_橋幸夫,霧氷…… 霧氷…… 思い出は かえらない 遥かな 遥かな 冬空に 消えた恋 霧の街角で 告げたさよならが 僕を 僕を 僕を泣かす 霧氷…… 霧氷…… なにもかも 夢だった 今でも 今でも 愛しては いるけれど どこにいるさえ 今は知らぬ人 僕を 僕を 僕を泣かす 霧氷…… 霧氷…… 美しい 恋だった 消えない 消えない 悲しみを 胸にだき 霧の街角を 一人今日もゆく 僕を 僕を 僕を泣かす
8,歌唱賞,43596,絶唱_by_舟木一夫,愛おしい 山鳩は 山こえて どこの空 名さえはかない 淡雪の娘よ なぜ死んだ ああ 小雪 結ばれて 引き裂かれ 七年を 西東 いのち短く 待つ日は永く 泣きぬれた ああ 小雪 山番の 山小舎に 春が来る 花が咲く 着せて空しい 花嫁衣裳 とこしえの ああ 小雪 なぜ死んだ ああ 小雪
8,童謡賞,14178,オバケのQ太郎_by_石川進,QQQ オバケのQ ぼくはオバケのQ太郎 頭のてっぺんに 毛が3本 毛が3本 だけどもぼくは とべるんだ 8キロ 10キロ 50キロ ひとやすみ ひとやすみ 空からおりたら 犬がいた ワン ワン あら こわい キャー ぼくは犬には 弱いんだ 弱いんだ QQQ オバケのQ ぼくはオバケのQ太郎 大きな口で エヘラのヘ エヘラのヘ ごはんの時間だ そらたべろ 1パイ 2ハイ 20パイ もうけっこう もうけっこう ちょっと失礼 ひとねむり グーフニャフニャ グーフニャフニャ 自分のいびきで 目がさめた 目がさめた QQQ オバケのQ ぼくはオバケのQ太郎 消えてみせよか ヒョーイポン ヒョーイポン すがたが消えても 力もち 3人 5人 かかってこい へっちゃらだい へっちゃらだい ぼくは正義の 味方だど ウッハッハー ウッハッハー オイオイ ウッハッハー 悪いやつらを やっつけた やっつけた
8,新人賞,2879,空に星があるように_by_荒木一郎,空に星が あるように 浜辺に砂が あるように ボクの心に たった一つの 小さな夢が ありました 風が東に 吹くように 川が流れて 行くように 時の流れに たった一つの 小さな夢は 消えました 淋しく 淋しく 星を見つめ ひとりで ひとりで 涙にぬれる 何もかも すべては 終ってしまったけれど 何もかも まわりは 消えてしまったけれど 春に小雨が 降るように 秋に枯葉が 散るように それは誰にも あるような ただの季節の かわりめの頃
8,新人賞,34981,赤い風船_by_加藤登紀子,赤い風船  手にもって 走ったり  ころんだり  笑ったり いつもひとりで  たわむれている 可愛い坊やは  空が好き 赤い風船  手をはなれ 青空にふわふわと  飛んでった 坊やびっくり  追いかけようと 大きな通りに  飛び出した 赤い風船  空の上 泣きながら  街の中  追いかけて 坊や車に  ひかれて  死んだ 可愛い坊やは  死んだ 赤い風船  手にもって 何かしら  楽しそうに歌ってた あどけない歌  かわいい声も 今ではどこにも  聞こえない 赤い風船  ゆらゆらと 青空を  さまよって  探してる どこへ行ったの  可愛い  坊や 可愛い坊やは  もういない 可愛い坊やは  もういない
9,大賞,4026,ブルー・シャトウ_by_ジャッキー吉川とブルー・コメッツ,森と泉にかこまれて 静かに眠るブルー・シャトウ あなたが僕を待っている 暗くて淋しいブルー・シャトウ きっとあなたは紅いバラの バラのかおりが苦しくて 涙をそっと流すでしょう 夜霧のガウンに包まれて 静かに眠るブルー・シャトウ きっとあなたは紅いバラの バラのかおりが苦しくて 涙をそっと流すでしょう 夜霧のガウンに包まれて 静かに眠るブルー・シャトウ
9,歌唱賞,1541,君こそわが命_by_水原弘,あなたをほんとは さがしてた 汚れ汚れて 傷ついて 死ぬまで逢えぬと 思っていたが けれどもようやく 虹を見た あなたのひとみに 虹を見た 君こそ命 君こそ命 わが命 あなたをほんとは さがしてた この世にいないと 思ってた 信じるこころを なくしていたが けれどもあなたに 愛を見て 生まれてはじめて 気がついた 君こそ命 君こそ命 わが命 あなたをほんとは さがしてた その時すでに おそかった どんなにどんなに 愛していても あなたをきっと 傷つける だからはなれて 行くけれど 君こそ命 君こそ命 わが命
9,歌唱賞,1976,小指の想い出_by_伊東ゆかり,あなたがかんだ 小指が痛い 昨日の夜の 小指が痛い そっと唇 おしあてて あなたのことを しのんでみるの 私をどうぞ ひとりにしてね 昨日の夜の 小指が痛い あなたがかんだ 小指がもえる ひとりでいると 小指がもえる そんな秘密を 知ったのは あなたのせいよ いけない人ね そのくせすぐに 逢いたくなるの ひとりでいると 小指がもえる あなたがかんだ 小指が好きよ かくしていたい 小指が好きよ 誰でもいいの 何もかも 私の恋を 教えてみたい ほんとにだけど いえないものね かくしていたい 小指が好きよ
9,童謡賞,No ID!,うたう足の歌_by_杉並合唱団,まるい地球の上に 季節はめぐり新しい土のにおいがするとぼくらの足は ひとりでに歩いて走って うたっちゃういろんな足が世界中 歌をうたって 歩いてくあわてんぼうの足は セカセカ セカセカセカおこりんぼうの足は プンプン プンプンプン泣き虫の足は メソメソメソおしゃべりの足は ペチャペチャペチャセカセカ プンプン メソメソ ペチャペチャおっちょこちょいは チョコチョコチョうたう足の歌 うたう足の歌まわる地球の上に そよ風吹いて新しい草のにおいがするとぼくらの足は まっすぐに野原に向かって 走ってくいろんな足が世界中 歌をうたって 歩いてくあわてんぼうの足は セカセカ セカセカセカおこりんぼうの足は プンプン プンプンプン泣き虫の足は メソメソメソおしゃべりの足は ペチャペチャペチャセカセカ プンプン メソメソ ペチャペチャおっちょこちょいは チョコチョコチョうたう足の歌 うたう足の歌
9,新人賞,67119,恋人と呼んでみたい_by_永井秀和,君のことを恋人と 呼んでみたいな君だけを 細い肩を見るたびに いとしい僕さ 胸に悩みがあるときは 何でもいいよ きいてあげよう 君のことを恋人と 呼んでいいかい恋人と 呼んでみたいな 君のことを恋人と 信じたいのさこの僕は 長いまつ毛そよぐたび 胸が燃えるよ 星を眺めていたいなら 気がすむように側にいてあげる 君のことを恋人と 信じたいのさ恋人と 信じていたい 君のことを恋人と 思いたいのさいつだって 頬にバラが射すたびに 抱きしめたいのさ 歌が好きなら 君だけに 心をこめて そっと唄おう 君のことを恋人と 思いたいのさ恋人と 思いたいのさ
9,新人賞,2799,世界は二人のために_by_佐良直美,愛 あなたと二人 花 あなたと二人 恋 あなたと二人 夢 あなたと二人 二人のため 世界はあるの 二人のため 世界はあるの 空 あなたとあおぐ 道 あなたと歩く 海 あなたと見つめ 丘 あなたと登る 二人のため 世界はあるの 二人のため 世界はあるの なぜ あなたと居るの いつ あなたと会うの どこ あなたと行くの いま あなたと私 二人のため 世界はあるの 二人のため 世界はあるの 愛 あなたと二人 花 あなたと二人 恋 あなたと二人 夢 あなたと二人 二人のため 世界はあるの 二人のため 世界はあるの 二人のため 世界はあるの 二人のため 世界はあるの 二人のため 世界はあるの 二人のため 世界はあるの……
10,大賞,3154,天使の誘惑_by_黛ジュン,好きなのに あの人はいない 話相手は 涙だけなの 幸せは オレンジ色の 雲の流れに 流れて消えた 私の唇に 人さし指で くちづけして あきらめた人 ごめんなさいね あの日のことは 恋の意味さえ 知らずにいたの 砂浜で 泣きまねすると やさしい声が 流れてくるの 思い出は オレンジ色の 雲のかなたに 浮かんでいるの 私の唇に 人さし指で くちづけして あきらめた人 今 此処に あの人がいたら 陽にやけた胸に 飛び込むでしょう 飛び込むでしょう……
10,歌唱賞,67116,誰もいない_by_菅原洋一,誰もいない 誰もいない 長い長い 孤独の夜よ 寒い心に ひざかけまいて 宛名のない 手紙を書くの 誰もいない 誰もいない 信じられない 手品のようね レースをあんで あんではほぐし 針の止まった 時計を見るの 誰もいない 誰もいない 遠い遠い 想い出だけね 涙をかくす マスクをつけて 終わりのない 本を読むの 本を読むの
10,歌唱賞,43511,伊勢佐木町ブルース_by_青江三奈,あなた知ってる 港ヨコハマ 街の並木に 潮風吹けば 花散る夜を 惜しむよに 伊勢佐木あたりに 灯(あかり)がともる 恋と情けの ドゥドゥビ ジュビドゥビ ジュビドゥヴァ…… 灯(ひ)がともる あたしはじめて 港ヨコハマ 雨がそぼ降り 汽笛が鳴れば 波止場の別れ 惜しむよに 伊勢佐木あたりに 灯がともる 夢をふりまく ドゥドゥビ ジュビドゥビ ジュビドゥヴァ…… 灯(ひ)がともる あなた馴染みの 港ヨコハマ 人にかくれて あの娘(こ)が泣いた 涙が花に なる時に 伊勢佐木あたりに 灯がともる 恋のムードの ドゥドゥビ ジュビドゥビ ジュビドゥヴァ…… 灯(ひ)がともる
